team_name,ft_pct,season,source_updated_at
Rice,68.1,2025-2026,2026-03-17T00:00:00.000Z
Little Rock,68.0,2025-2026,2026-03-17T00:00:00.000Z
E Texas A&M,67.9,2025-2026,2026-03-17T00:00:00.000Z
Indiana St,67.8,2025-2026,2026-03-17T00:00:00.000Z
UT Martin,67.7,2025-2026,2026-03-17T00:00:00.000Z
West Virginia,67.7,2025-2026,2026-03-17T00:00:00.000Z
Marquette,67.5,2025-2026,2026-03-17T00:00:00.000Z
Texas A&M-CC,67.4,2025-2026,2026-03-17T00:00:00.000Z
Lindenwood,67.4,2025-2026,2026-03-17T00:00:00.000Z
Pittsburgh,67.4,2025-2026,2026-03-17T00:00:00.000Z
Mt St Mary's,67.4,2025-2026,2026-03-17T00:00:00.000Z
Missouri St,67.3,2025-2026,2026-03-17T00:00:00.000Z
UMass,67.3,2025-2026,2026-03-17T00:00:00.000Z
Loyola Chi,67.3,2025-2026,2026-03-17T00:00:00.000Z
Iowa St,67.2,2025-2026,2026-03-17T00:00:00.000Z
Louisiana Tech,67.2,2025-2026,2026-03-17T00:00:00.000Z
Coppin St,67.2,2025-2026,2026-03-17T00:00:00.000Z
SIU Edward,67.1,2025-2026,2026-03-17T00:00:00.000Z
LIU,66.8,2025-2026,2026-03-17T00:00:00.000Z
S Carolina St,66.8,2025-2026,2026-03-17T00:00:00.000Z
CS Northridge,66.8,2025-2026,2026-03-17T00:00:00.000Z
S Indiana,66.6,2025-2026,2026-03-17T00:00:00.000Z
Drexel,66.5,2025-2026,2026-03-17T00:00:00.000Z
The Citadel,66.5,2025-2026,2026-03-17T00:00:00.000Z
Nicholls,66.2,2025-2026,2026-03-17T00:00:00.000Z
W Illinois,66.2,2025-2026,2026-03-17T00:00:00.000Z
Kansas City,66.2,2025-2026,2026-03-17T00:00:00.000Z
Mississippi St,66.0,2025-2026,2026-03-17T00:00:00.000Z
Albany,65.9,2025-2026,2026-03-17T00:00:00.000Z
UMass Lowell,65.7,2025-2026,2026-03-17T00:00:00.000Z
S Alabama,65.7,2025-2026,2026-03-17T00:00:00.000Z
N Illinois,65.7,2025-2026,2026-03-17T00:00:00.000Z
Boston College,65.3,2025-2026,2026-03-17T00:00:00.000Z
New Hampshire,65.1,2025-2026,2026-03-17T00:00:00.000Z
Charleston So,64.8,2025-2026,2026-03-17T00:00:00.000Z
Syracuse,64.8,2025-2026,2026-03-17T00:00:00.000Z
App State,64.5,2025-2026,2026-03-17T00:00:00.000Z
Maine,64.3,2025-2026,2026-03-17T00:00:00.000Z
Air Force,64.1,2025-2026,2026-03-17T00:00:00.000Z
Davidson,63.8,2025-2026,2026-03-17T00:00:00.000Z
